Section,Title,Author,Time(Weeks),avg_rating,num_of_ratings,Description,Link
Paperback Trade Fiction,NORMAL PEOPLE,by Sally Rooney,12,3.87,259896,The connection between a high school star athlete and a loner ebbs and flows when they go to Trinity College in Dublin.,https://www.amazon.com/Normal-People-Novel-Sally-Rooney/dp/1984822179?tag=NYTBS-20
Paperback Trade Fiction,THE WOMAN IN THE WINDOW,by A.J. Finn,55,3.94,388723,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,https://www.amazon.com/Woman-Window-Novel-J-Finn/dp/0062678418?tag=NYTBS-20
Paperback Trade Fiction,THEN SHE WAS GONE,by Lisa Jewell,43,4.03,163266,"Ten years after her daughter disappears, a woman tries to get her life in order but remains haunted by unanswered questions.",https://www.amazon.com/Then-She-Was-Gone-Novel-ebook/dp/B074MDD3H6?tag=NYTBS-20
Paperback Trade Fiction,THE TATTOOIST OF AUSCHWITZ,by Heather Morris,88,4.26,380987,A concentration camp detainee tasked with permanently marking fellow prisoners falls in love with one of them.,https://www.amazon.com/Tattooist-Auschwitz-Novel-Heather-Morris/dp/0062797158?tag=NYTBS-20
Paperback Nonfiction,THE BODY KEEPS THE SCORE,by Bessel van der Kolk,81,4.54,27723,"How trauma affects the body and mind, and innovative treatments for recovery.",http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBS-20
Paperback Nonfiction,THE GREAT INFLUENZA,by John M. Barry,9,3.98,21388,An overview of the 1918 flu epidemic and cautionary tale for similar kinds of large-scale outbreaks.,http://www.amazon.com/The-Great-Influenza-Deadliest-Pandemic/dp/0143036491?tag=NYTBS-20
Paperback Nonfiction,A WOMAN OF NO IMPORTANCE,by Sonia Purnell,6,4.21,9078,The true story of a Baltimore socialite who joined a spy organization during World War II and became essential to the French Resistance.,https://www.amazon.com/Woman-No-Importance-Untold-American/dp/073522529X?tag=NYTBS-20
Paperback Nonfiction,JUST MERCY,by Bryan Stevenson,204,4.62,102579,A civil rights lawyer and MacArthur grant recipient’s memoir of his decades of work to free innocent people condemned to death.,http://www.amazon.com/Just-Mercy-Story-Justice-Redemption-ebook/dp/B00JYWVYLY?tag=NYTBS-20
Paperback Nonfiction,"WOW, NO THANK YOU",by Samantha Irby,6,4.05,4917,Comedic essays by an author and blogger who splits her time between Hollywood meetings and living in a liberal suburban town in a red state.,https://www.amazon.com/dp/0525563482?tag=NYTBSREV-20&tag=NYTBS-20
"Advice, How-To & Miscellaneous","MAGNOLIA TABLE, VOL. 2",by Joanna Gaines,5,4.41,396,"",https://www.amazon.com/dp/0062820184?tag=NYTBSREV-20&tag=NYTBS-20
"Advice, How-To & Miscellaneous",RELATIONSHIP GOALS,by Michael Todd,2,4.54,287,"",https://www.amazon.com/dp/0593192575?tag=NYTBSREV-20&tag=NYTBS-20
"Advice, How-To & Miscellaneous",MAGNOLIA TABLE,by Joanna Gaines with Marah Stets,42,4.25,4769,"",https://www.amazon.com/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?tag=NYTBS-20
"Advice, How-To & Miscellaneous","THE BOY, THE MOLE, THE FOX AND THE HORSE",by Charlie Mackesy,27,4.64,19069,"",https://www.amazon.com/Boy-Mole-Fox-Horse/dp/0062976583?tag=NYTBS-20
"Advice, How-To & Miscellaneous",DARING GREATLY,by Brené Brown,81,4.28,113481,"",http://www.amazon.com/Daring-Greatly-Courage-Vulnerable-Transforms/dp/1592407331?tag=NYTBS-20
Children’s Middle Grade Hardcover,THE ONE AND ONLY BOB,by Katherine Applegate. Illustrated by Patricia Castelao,0,4.51,969,"In this sequel to ""The One and Only Ivan,"" Bob sets out on a dangerous journey in search of his long-lost sister.",https://www.amazon.com/dp/0062991310?tag=NYTBSREV-20&tag=NYTBS-20
Children’s Middle Grade Hardcover,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,56,4.33,178,Over 100 kid-tested recipes from America's Test Kitchen.,https://www.amazon.com/Complete-Cookbook-Young-Chefs/dp/1492670022?tag=NYTBS-20
Children’s Middle Grade Hardcover,WONDER,by R.J. Palacio,247,4.45,677820,A boy with a facial deformity starts school.,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=NYTBS-20
Children’s Middle Grade Hardcover,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,by America's Test Kitchen Kids,14,4.5,48,One hundred plus kid-tested baking recipes.,https://www.amazon.com/Complete-Baking-Book-Young-Chefs/dp/1492677698?tag=NYTBS-20
Children’s Middle Grade Hardcover,DIARY OF AN AWESOME FRIENDLY KID,by Jeff Kinney,57,4.06,16670,Greg’s best friend Rowley Jefferson writes his own diary.,https://www.amazon.com/Diary-Awesome-Friendly-Jeff-Kinney/dp/141974027X?tag=NYTBS-20
Children’s Picture Books,GRUMPY MONKEY,by Suzanne Lang. Illustrated by Max Lang,32,4.26,1933,Jim Panzee is having a bad day.,https://www.amazon.com/Grumpy-Monkey-Suzanne-Lang/dp/0553537865?tag=NYTBS-20
Children’s Picture Books,HOW TO CATCH A UNICORN,by Adam Wallace. Illustrated by Andy Elkerton,17,3.55,428,Children attempt to capture the mythical creature.,https://www.amazon.com/How-Catch-Unicorn-Adam-Wallace/dp/1492669733?tag=NYTBS-20
Children’s Picture Books,I WISH YOU MORE,by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,55,4.37,3482,A bounty of good wishes.,http://www.amazon.com/Wish-You-More-Krouse-Rosenthal/dp/1452126992?tag=NYTBS-20
Children’s Picture Books,THE WONDERFUL THINGS YOU WILL BE,by Emily Winfield Martin,233,4.39,3146,A celebration of future possibilities.,http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBS-20
Children’s Picture Books,WAITING IS NOT EASY!,by Mo Willems,72,4.45,4197,Impatient Gerald has to wait for Piggie’s promised surprise.,http://www.amazon.com/Waiting-Easy-Elephant-Piggie-Book/dp/142319957X?tag=NYTBS-20
Children’s Series,DOG MAN,by Dav Pilkey,141,4.21,19996,A dog’s head is combined with a policeman’s body to create this hybrid supercop hound.,https://www.amazon.com/Dog-Man-Kitties-Creator-Underpants/dp/0545935210?tag=NYTBS-20
Children’s Series,HARRY POTTER,by J.K. Rowling,581,4.47,6686802,A wizard hones his conjuring skills in the service of fighting evil.,http://www.amazon.com/Harry-Potter-And-Order-Phoenix/dp/0439358078?tag=NYTBS-20
Children’s Series,DIARY OF A WIMPY KID,written and illustrated by Jeff Kinney,582,3.99,405736,The travails and challenges of adolescence.,http://www.amazon.com/Diary-Wimpy-Kid-Hard-Luck/dp/1419711326?tag=NYTBS-20
Children’s Series,THE LAST KIDS ON EARTH,by Max Brallier. Illustrated by Douglas Holgate,35,4.21,6170,Jack and his friends fight for their lives through the zombie apocalypse.,https://www.amazon.com/Last-Kids-Earth-Nightmare-King/dp/0425288714?tag=NYTBS-20
Children’s Series,THE BAD GUYS,by Aaron Blabey,77,4.21,4679,Tough animals in suits take on some real villains.,https://www.amazon.com/Bad-Guys-Intergalactic-Gas/dp/1338189573?tag=NYTBS-20
Young Adult Hardcover,THE BETROTHED,by Kiera Cass,0,3.07,3050,"Lady Hollis Brite and King Jameson are set to be married, but will a commoner steal Hollis’s heart?",https://www.amazon.com/dp/0062291637?tag=NYTBSREV-20&tag=NYTBS-20
Young Adult Hardcover,CLAP WHEN YOU LAND,by Elizabeth Acevedo,0,4.48,2183,"Unbeknownst to each other, two sisters meet when their father dies in a plane crash.",https://www.amazon.com/dp/0062882767?tag=NYTBSREV-20&tag=NYTBS-20
Young Adult Hardcover,AURORA BURNING,by Amie Kaufman and Jay Kristoff,0,4.51,2428,"Having been framed for a massacre, Squad 312 is on the run with a bounty on their heads.",https://www.amazon.com/dp/1524720925?tag=NYTBSREV-20&tag=NYTBS-20
Young Adult Hardcover,ONE OF US IS LYING,by Karen M. McManus,120,4.05,174692,"For five students, a detour into detention ends in murder.",https://www.amazon.com/One-Us-Lying-Karen-McManus/dp/1524714682?tag=NYTBS-20
Young Adult Hardcover,CHAIN OF GOLD,by Cassandra Clare,10,4.52,21862,Cordelia battles demons in a quarantined London that are nothing like she’s encountered before.,https://www.amazon.com/dp/1481431870?tag=NYTBSREV-20&tag=NYTBS-20
